ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-15,2.4741663487705714,-1.6646359349750297,6.125362481364521,2.4741663487705714,2.4741663487705714,-0.3184538857855459,-0.3184538857855459,-0.3184538857855459,-0.035353282581970846,-0.035353282581970846,-0.035353282581970846,-0.28310060320357505,-0.28310060320357505,-0.28310060320357505,0.0,0.0,0.0,2.1557124629850257
2023-09-16,2.4740486870016087,-1.9476737617013642,6.081889687743639,2.4740486870016087,2.4740486870016087,-0.22213386592296921,-0.22213386592296921,-0.22213386592296921,0.024629559362207853,0.024629559362207853,0.024629559362207853,-0.24676342528517708,-0.24676342528517708,-0.24676342528517708,0.0,0.0,0.0,2.2519148210786395
2023-09-17,2.4739310252326465,-1.982997798178438,5.827623269203836,2.4739310252326465,2.4739310252326465,-0.397755194278156,-0.397755194278156,-0.397755194278156,-0.19545719868329264,-0.19545719868329264,-0.19545719868329264,-0.20229799559486333,-0.20229799559486333,-0.20229799559486333,0.0,0.0,0.0,2.0761758309544907
2023-09-18,2.4738133634636847,-1.203419122619974,6.093374174897485,2.4738133634636847,2.4738133634636847,-0.0007054553238041167,-0.0007054553238041167,-0.0007054553238041167,0.1509389877028114,0.1509389877028114,0.1509389877028114,-0.1516444430266155,-0.1516444430266155,-0.1516444430266155,0.0,0.0,0.0,2.473107908139881
2023-09-19,2.4736957016947225,-1.6679663387721648,6.110388795142682,2.4736957016947225,2.4736957016947225,-0.08523832110183298,-0.08523832110183298,-0.08523832110183298,0.011571947577486403,0.011571947577486403,0.011571947577486403,-0.09681026867931938,-0.09681026867931938,-0.09681026867931938,0.0,0.0,0.0,2.3884573805928895
2023-09-20,2.47357803992576,-1.2221395604388035,6.20107327347311,2.47357803992576,2.47357803992576,0.021568154968788694,0.021568154968788694,0.021568154968788694,0.06138315715811196,0.06138315715811196,0.06138315715811196,-0.03981500218932327,-0.03981500218932327,-0.03981500218932327,0.0,0.0,0.0,2.4951461948945486
2023-09-21,2.4734603781567976,-1.3834081900727513,6.128001361594201,2.4734603781567976,2.4734603781567976,-0.0003488149725647429,-0.0003488149725647429,-0.0003488149725647429,-0.017713170534345842,-0.017713170534345842,-0.017713170534345842,0.0173643555617811,0.0173643555617811,0.0173643555617811,0.0,0.0,0.0,2.473111563184233
2023-09-22,2.473342716387836,-1.2758815137410842,6.332479766278092,2.473342716387836,2.473342716387836,0.03749228776995072,0.03749228776995072,0.03749228776995072,-0.03535328258207991,-0.03535328258207991,-0.03535328258207991,0.07284557035203063,0.07284557035203063,0.07284557035203063,0.0,0.0,0.0,2.5108350041577867
2023-09-23,2.473225054618873,-1.3512703019623753,6.5569039786371786,2.473225054618873,2.473225054618873,0.14951920269306387,0.14951920269306387,0.14951920269306387,0.024629559361738104,0.024629559361738104,0.024629559361738104,0.12488964333132575,0.12488964333132575,0.12488964333132575,0.0,0.0,0.0,2.622744257311937
2023-09-24,2.473107392849911,-1.4122593683929359,5.974753706550588,2.473107392849911,2.473107392849911,-0.023513013373433974,-0.023513013373433974,-0.023513013373433974,-0.1954571986832885,-0.1954571986832885,-0.1954571986832885,0.17194418530985453,0.17194418530985453,0.17194418530985453,0.0,0.0,0.0,2.449594379476477
2023-09-25,2.472989731080949,-1.047417874995728,6.538478099019988,2.472989731080949,2.472989731080949,0.36361952114511975,0.36361952114511975,0.36361952114511975,0.15093898770304076,0.15093898770304076,0.15093898770304076,0.21268053344207902,0.21268053344207902,0.21268053344207902,0.0,0.0,0.0,2.836609252226069
2023-09-26,2.4728720693119866,-1.2289593701487567,6.621988569455261,2.4728720693119866,2.4728720693119866,0.2575955892405568,0.2575955892405568,0.2575955892405568,0.011571947577077232,0.011571947577077232,0.011571947577077232,0.2460236416634796,0.2460236416634796,0.2460236416634796,0.0,0.0,0.0,2.730467658552543
2023-09-27,2.4727544075430243,-1.0871069277530196,6.807427634627943,2.4727544075430243,2.4727544075430243,0.33255715452931184,0.33255715452931184,0.33255715452931184,0.06138315715824407,0.06138315715824407,0.06138315715824407,0.27117399737106773,0.27117399737106773,0.27117399737106773,0.0,0.0,0.0,2.8053115620723363
2023-09-28,2.472636745774062,-1.2755349092814594,6.541801542221369,2.472636745774062,2.472636745774062,0.26990788738436805,0.26990788738436805,0.26990788738436805,-0.017713170534137086,-0.017713170534137086,-0.017713170534137086,0.2876210579185052,0.2876210579185052,0.2876210579185052,0.0,0.0,0.0,2.7425446331584302
